label	fix
americanblackduck	duck
americangreenwingedteal	wild_bird
americanwigeon	wild_bird
avian	wild_bird
blackduck	duck
blackheadedgull	wild_bird
bluewingedteal	wild_bird
bufflehead	wild_bird
chicken	chicken
commonteal	wild_bird
duck	duck
env	environment
environment	environment
glaucousgull	wild_bird
greatblackbackedgull	wild_bird
greenwingedteal	wild_bird
guineafowl	wild_bird
gull	wild_bird
herringgull	wild_bird
icelandgull	wild_bird
laughinggull	wild_bird
mallard	duck
mallardduck	duck
northernpintail	wild_bird
northernshoveler	wild_bird
pekingduck	duck
pintail	wild_bird
pintailduck	duck
rockvilleillinois	wild_bird
ruddyturnstone	wild_bird
sanderling	wild_bird
semipalmatedsandpiper	wild_bird
shorebird	wild_bird
silkiechicken	chicken
swan	wild_bird
swine	pig
whitefrontedgoose	wild_bird
whiterumpedsandpiper	wild_bird
wildduck	duck
wildwaterfowl	wild_bird
canvasback	duck
commoneider	duck
lesserscaup	duck
mallardblackduckhybrid	duck
mink	mammal
muscovyduck	duck
ostrich	wild_bird
pigeon	wild_bird
quail	wild_bird
redheadedduck	duck
redknot	wild_bird
redneckedgrebe	wild_bird
ringbilledgull	wild_bird
rockdove	wild_bird
shoveler	duck
snowgoose	wild_bird
sparrow	wild_bird
teal	wild_bird
thickbilledmurre	wild_bird
westerngrebe	wild_bird
wildbird	wild_bird
americancoot	wild_bird
americanwidgeon	wild_bird
anasplatyrhynchos	duck
blackscoter	duck
camel	camel
canine	mammal
equine	horse
feline	mammal
gadwall	duck
gadwallduck	duck
garganey	duck
hoodedmerganser	duck
longtailduck	duck
longtailedduck	duck
mallard.maryland	duck
pelican	wild_bird
redcrestedpochard	duck
redneckedstint	wild_bird
ringneckedduck	duck
turnstone	wild_bird
wedgetailedshearwater	wild_bird
woodduck	duck
canvasbackduck	duck
capeshoveller	wild_bird
caspianseal	seal
commongoldeneye	wild_bird
dunlin	wild_bird
grayteal	wild_bird
leastsandpiper	wild_bird
msllard	duck
pekinduck	duck
redheadduck	duck
slatybackedgull	wild_bird
surfacewater	environment
whitewingedscoter	wild_bird
yellowbilledduck	duck
anas_crecca	wild_bird
baikalteal	wild_bird
barheadedgoose	wild_bird
beangoose	wild_bird
blackchicken	chicken
blackcrownednightheron	wild_bird
bluegoose	wild_bird
breederchicken	chicken
breederduck	duck
broilerduck	duck
brownheadedgull	wild_bird
canadagoose	wild_bird
cat	mammal
cinnamonteal	wild_bird
civet	mammal
coot	mammal
crestedeagle	wild_bird
crow	wild_bird
cygnuscygnus	wild_bird
cygnusolor	wild_bird
domesticduck	duck
domesticgreenwingedteal	wild_bird
domesticmallardduck	duck
dove	wild_bird
duckfeces	duck
egret	wild_bird
emu	mammal
eurasianeagleowl	wild_bird
eurasianwoodcock	wild_bird
falcon	wild_bird
ferret	ferret
finch	wild_bird
goose	wild_bird
greatblackheadedgull	wild_bird
greatcormorant	wild_bird
greatcrestedgrebe	wild_bird
greategret	wild_bird
grebe	wild_bird
greyheron	wild_bird
gyrfalcon	wild_bird
hillmyna	wild_bird
human	human
japanesewhiteeye	wild_bird
koreannativechicken	chicken
littleegret	wild_bird
littlegrebe	wild_bird
magpierobin	wild_bird
mandarinduck	duck
maraboustork	wild_bird
mountainhawkeagle	wild_bird
muteswan	wild_bird
openbilledstork	wild_bird
openbillstork	wild_bird
peregrinefalcon	wild_bird
phalacrocorax	wild_bird
pheasant	wild_bird
piedmegpie	wild_bird
poultry	chicken
rhea	wild_bird
rook	wild_bird
rubbyshelduck	duck
sakerfalcon	wild_bird
shrike	wild_bird
spotbilledduck	duck
starling	wild_bird
stonemarten	mammal
tern	wild_bird
tiger	mammal
treesparrow	wild_bird
tuftedduck	duck
tundraswan	wild_bird
turtledove	wild_bird
water	environment
waterfowl	wild_bird
whitefrontgoose	wild_bird
whooperswan	wild_bird
wigeon	wild_bird
wildfowl	wild_bird
redhead	unknown
turkey	wild_bird
bewicksswan	wild_bird
ngan	unknown
shearwater	wild_bird
aquaticbird	wild_bird
barnaclegoose	wild_bird
chukka	wild_bird
eurasianwigeon	duck
greaterwhitefrontedgoose	wild_bird
japanesequail	wild_bird
partridge	wild_bird
rosybilledpochard	duck
whiskeredtern	wild_bird
widgeon	duck
homingpigeon	wild_bird
northernshoverl	wild_bird
shellduck	duck
silky_chicken	chicken
wildgoose	wild_bird
wildpigeon	wild_bird
africanstonechat	wild_bird
anserfabalis	wild_bird
bewick'sswan	wild_bird
bird	wild_bird
blackbilledmagpie	wild_bird
chinesehwamei	wild_bird
enviroment	environment
feces	environment
mediterraneangull	wild_bird
parakeet	wild_bird
pinkfootedgoose	wild_bird
wildchicken	chicken
anas_platyrhynchos	duck
commonscoter	duck
greaterscaup	duck
migratoryduck	duck
callduck	duck
glaucouswingedgull	wild_bird
lesserblackbackedgull	wild_bird
sharptailedsandpiper	wild_bird
spotbillduck	duck
ruddyshelduck	duck
mongoliangull	wild_bird
yellowleggedgull	wild_bird
blackleggedkittiwake	wild_bird
californiagull	wild_bird
commonmurre	wild_bird
glaucousgullherringgullhybrid	wild_bird
knot	wild_bird
northernshovelermissouri	wild_bird
piedavocet	wild_bird
seagull	wild_bird
sootytern	wild_bird
